patent_id;inventors_count;images_count;backward_citations_count;foward_citations_count;nuns_count;aplications_count;top_10_words_count;non_patent_citations_count;independent_claims_count;application_date;family_count;ipcs_count;cpcs_count;ipcs_diversity_count;cpcs_diversity_count
WO2013127006;1;0;11;7;5;0;2;4;0;20/02/2013;11;8;17;3;7
BR9815487;3;0;7;7;18;2;11;0;0;07/04/1998;5;4;2;1;1
BR102012007049;3;0;0;0;1;1;6;0;3;07/03/2012;1;3;0;0;0
BR0205671;8;0;0;0;3;0;4;0;0;25/10/2002;1;2;1;1;1
BR9706136;1;0;0;0;13;1;0;0;0;15/12/1997;1;5;0;0;0
WO2004085652;6;0;7;34;11;1;11;5;0;25/03/2004;40;8;11;4;6
BR112017022529;3;0;14;3;6;1;1;0;0;20/04/2016;15;6;7;4;5
WO2011159991;5;0;55;33;6;1;3;14;0;17/06/2011;119;3;8;3;6
BR8703664;2;0;14;21;9;1;0;0;0;14/07/1987;6;2;3;1;2
BR112022013249;5;0;15;3;4;2;9;0;0;04/03/2021;28;2;16;2;4
WO2009060126;5;0;11;32;3;1;1;3;0;07/11/2008;16;3;5;2;4
WO2013181496;4;0;3;3;6;0;6;1;0;31/05/2013;10;3;4;2;4
BR102020024886;3;6;0;0;5;1;5;0;8;04/12/2020;1;9;10;6;6
BR0106237;2;0;9;18;2;2;3;0;0;20/12/2001;8;1;1;1;1
BR0009178;11;0;5;14;6;1;6;0;0;03/02/2000;26;4;2;2;1
WO2015139141;4;0;15;13;3;0;3;2;0;20/03/2015;7;6;13;2;4
WO2021184101;6;0;2;0;29;1;18;6;0;19/03/2021;5;8;9;4;6
BR9300474;1;0;0;0;6;1;0;0;0;28/01/1993;1;3;1;2;1
BR8006653;1;0;6;44;3;0;0;0;0;16/10/1980;9;1;3;1;3
BR0100762;4;0;4;261;3;1;3;0;0;23/02/2001;13;1;6;1;3
WO2013044042;4;0;10;25;10;0;5;4;0;21/09/2012;60;1;28;1;9
WO2015005410;4;6;11;10;4;0;4;5;6;10/07/2014;15;3;5;1;2
BR0013396;1;0;4;49;5;1;4;0;0;15/08/2000;112;8;10;5;6
BR102021018966;7;1;0;0;3;1;5;0;31;23/09/2021;1;3;0;0;0
WO2014060673;2;0;7;1;7;1;6;7;0;25/09/2013;8;4;7;1;2
WO2011063402;2;0;19;37;3;0;5;17;0;23/11/2010;14;1;6;1;4
BR9804667;2;0;2;4;5;1;3;0;0;13/11/1998;9;3;2;1;1
BR112016013463;0;0;8;0;0;1;0;0;0;12/12/2014;5;0;3;0;2
WO2007045063;2;0;5;3;6;0;4;30;0;20/10/2006;16;1;3;1;1
BR0014631;4;0;10;17;2;2;1;0;0;30/09/2000;10;4;5;3;3
BR9913076;5;0;6;17;38;3;20;0;0;17/08/1999;9;10;6;5;2
BR0300170;3;0;13;19;7;1;9;0;0;30/01/2003;13;11;10;5;3
WO2008070561;3;0;8;51;4;0;1;10;0;30/11/2007;12;4;8;1;2
BR9913813;1;0;0;0;3;1;3;0;0;13/09/1999;1;1;0;0;0
WO2008080093;10;0;225;101;4;0;2;314;0;21/12/2007;48;1;6;1;2
WO2009100848;2;0;8;14;5;1;3;2;0;05/02/2009;21;3;1;1;1
WO2010134455;4;6;7;42;2;1;4;6;15;12/05/2010;6;4;7;2;4
WO2014188012;15;0;5;6;4;1;4;1;0;20/05/2013;9;5;9;2;4
WO2017017292;17;0;19;2;4;1;4;45;0;29/07/2015;4;2;10;2;5
WO2014098105;4;0;13;14;3;0;3;1;10;18/12/2013;16;6;2;1;1
WO2010059694;1;0;12;19;4;1;0;0;0;18/11/2009;6;1;2;1;2
BR112016011609;9;0;4;2;2;2;1;0;0;21/11/2014;20;2;6;2;5
WO2015156803;3;0;11;4;10;1;9;1;0;10/04/2014;85;1;14;1;5
BR102021012388;4;10;0;0;1;1;3;0;1;22/06/2021;1;2;0;0;0
BR102019008031;5;24;0;0;4;1;3;0;11;18/04/2019;2;3;0;0;0
BR112023003525;4;0;20;3;4;1;6;0;0;29/04/2021;14;20;31;5;8
BR8107381;1;0;6;7;5;1;0;0;0;13/11/1981;2;6;7;2;2
WO2013142320;2;0;11;12;7;1;7;2;0;15/03/2013;17;6;12;3;8
BR112018012451;4;0;7;3;2;1;0;0;0;18/11/2016;6;2;5;2;2
WO2014015405;1;0;11;2;4;0;5;2;0;24/07/2013;16;3;5;3;4
WO2014056486;4;0;9;5;5;1;4;8;0;04/10/2013;13;4;5;2;3
WO2012003282;7;0;28;16;5;0;3;1;0;30/06/2011;19;2;12;2;3
BR0203580;1;0;0;0;7;1;7;0;0;26/08/2002;3;1;1;1;1
WO2013142317;2;0;13;32;7;1;5;3;0;15/03/2013;17;6;20;4;10
WO2022069084;4;0;20;3;7;0;6;31;0;29/04/2021;14;20;31;5;8
BR0010837;5;0;10;16;4;2;3;0;0;26/05/2000;34;6;2;3;2
BR8603984;1;0;0;0;4;1;0;0;0;21/08/1986;1;3;1;3;1
BR0116522;2;0;33;67;4;1;4;0;0;25/10/2001;16;9;5;3;2
WO2012062338;3;0;6;6;7;1;3;2;0;08/11/2010;11;5;1;1;1
WO2015120859;3;0;4;5;7;0;6;20;0;11/02/2015;7;1;14;1;5
WO2010098408;4;15;4;16;10;1;13;0;7;25/02/2010;5;3;4;1;2
BR112018013770;2;0;20;1;9;1;3;0;0;12/10/2017;20;3;7;2;4
WO2014138594;5;0;443;179;2;0;1;0;0;07/03/2014;569;1;52;1;18
BR8206717;1;0;7;3;4;0;0;0;0;19/11/1982;8;5;7;1;1
BR9813133;1;0;36;41;5;2;7;0;0;19/10/1998;23;5;2;1;1
BR0301183;1;0;0;0;5;1;5;0;0;08/04/2003;2;1;1;1;1
WO2016140721;1;0;22;7;2;2;3;16;0;12/12/2015;17;2;6;2;3
BR102016015521;3;0;0;0;6;1;10;0;10;01/07/2016;2;2;10;2;3
BR102012032659;8;0;0;0;3;1;6;0;4;20/12/2012;1;3;3;3;2
BR0109376;2;0;29;18;1;2;4;0;0;15/03/2001;44;5;6;1;4
WO2014099186;2;0;7;19;5;1;1;0;0;13/11/2013;3;3;5;3;3
WO2015157617;2;0;45;6;8;2;3;1;0;10/04/2015;85;2;19;1;4
WO2007100052;2;0;15;60;10;0;10;9;0;01/03/2007;12;8;25;3;3
WO2022091142;1;0;3;0;10;0;5;0;0;02/11/2021;2;3;29;2;3
WO2008115242;1;0;36;10;7;0;3;1;0;24/05/2007;6;2;2;2;1
BR8102291;1;0;0;1;4;1;0;0;0;10/04/1981;1;2;2;1;1
BR112022014497;7;0;0;0;5;1;7;0;0;30/11/2020;14;2;4;1;2
WO2014041344;3;0;4;1;3;2;1;3;0;11/09/2013;11;10;9;1;2
WO2008011598;1;0;334;74;3;0;1;1;0;20/07/2007;39;1;20;1;5
WO2010121348;3;0;13;33;3;0;4;1;0;07/04/2010;14;5;7;4;4
BR8901034;5;0;18;26;11;1;0;0;0;06/03/1989;20;9;5;3;3
WO2018192952;2;0;15;5;4;1;5;2;0;18/04/2018;11;2;8;2;3
BR7902520;1;0;0;0;2;1;0;0;0;24/04/1979;1;1;0;0;0
WO2014170330;6;0;9;5;8;0;5;0;0;15/04/2014;9;1;4;1;4
WO2021183357;5;0;13;0;3;1;0;1;0;04/03/2021;28;2;12;2;4
WO2013166225;3;0;7;38;8;1;5;0;0;02/05/2013;6;0;16;0;6
BR9708390;1;0;11;26;52;1;9;0;0;27/03/1997;17;21;11;6;5
WO2013114282;2;0;12;4;11;1;7;38;0;29/01/2013;11;2;14;1;6
BR7603007;2;0;0;3;3;1;0;0;0;13/05/1976;3;1;2;1;2
WO2006131643;3;0;6;5;4;1;3;0;0;06/06/2006;11;9;7;4;3
WO2010076183;1;0;6;0;3;0;1;0;0;15/12/2009;9;2;4;1;2
WO2012122613;2;0;6;6;4;0;1;6;0;07/03/2012;6;1;3;1;3
BR102022005698;3;3;11;2;1;1;2;0;15;25/03/2022;8;5;12;4;4
WO2011086244;3;0;6;7;9;1;3;3;0;17/12/2010;11;3;7;1;3
WO2014015491;6;0;13;2;6;1;2;2;0;26/07/2012;18;5;6;1;1
BR8500275;1;0;0;0;5;1;0;0;0;22/01/1985;1;2;2;1;1
WO2022094532;8;0;32;2;1;0;2;2;0;22/10/2021;16;3;9;3;3
BR8102808;3;0;20;11;5;1;0;0;0;30/04/1981;50;11;7;2;3
WO2010131829;1;0;7;35;2;1;2;0;0;18/01/2010;6;2;5;1;2
WO2007028804;6;0;19;33;4;1;5;0;0;06/09/2006;26;5;11;2;3
WO2020109268;8;0;12;4;9;0;1;5;0;26/11/2019;9;3;4;2;4
WO2013096693;4;0;54;23;4;0;2;9;0;20/12/2012;40;2;5;2;2
WO2021058808;4;0;16;5;5;0;1;8;0;25/09/2020;8;4;3;2;2
BR0207857;2;0;40;20;7;2;8;0;0;06/03/2002;18;3;3;2;2
BR0105888;2;0;0;3;3;1;3;0;0;30/11/2001;1;2;1;1;1
WO2009124072;1;0;6;21;3;0;1;4;0;31/03/2009;21;6;10;4;6
WO2021058805;4;0;14;3;5;0;0;7;0;25/09/2020;8;4;6;2;3
WO2009100042;1;0;11;42;4;0;4;0;0;03/02/2009;5;1;5;1;3
WO2014068213;3;0;14;15;4;1;1;3;0;17/10/2013;15;5;2;1;1
BR9812267;1;0;100;337;4;1;2;0;0;13/07/1998;152;14;28;2;3
WO2015164058;6;0;1;2;10;0;2;11;0;06/04/2015;5;2;4;1;2
WO2013010271;3;0;25;16;5;0;2;1;0;12/07/2012;29;4;3;3;3
BR112014019578;4;0;4;5;11;2;5;0;0;07/02/2013;29;3;20;2;4
WO2014182807;1;0;4;8;10;0;9;1;0;07/05/2014;6;3;6;2;3
BR9916520;8;0;6;42;12;1;12;0;0;21/12/1999;20;12;5;3;2
BR0214276;3;0;8;20;19;1;5;0;0;18/11/2002;18;5;2;1;1
WO2011073284;2;0;22;33;5;0;5;5;0;15/12/2010;7;5;5;3;4
WO2012049054;2;0;13;11;4;1;3;0;0;05/10/2011;29;7;6;5;5
WO2010022510;1;0;15;18;5;0;4;2;0;28/08/2009;7;7;6;4;6
BR0308912;7;0;9;10;8;2;7;0;0;15/04/2003;17;1;2;1;1
BR0202257;11;0;25;23;9;0;9;0;0;13/06/2002;19;11;11;3;4
BR0206546;3;0;72;19;8;1;9;0;0;18/01/2002;24;10;6;4;3
BR0306524;1;0;0;0;6;1;4;0;0;29/09/2003;2;3;0;0;0
WO2013139839;3;0;8;4;5;1;0;0;0;20/03/2013;19;0;4;0;2
BR112022013923;8;0;13;0;1;2;0;0;0;08/01/2021;13;4;11;3;6
BR112016006059;3;0;14;15;2;1;3;0;0;19/09/2014;22;3;6;2;3
WO2011022651;10;0;15;53;6;0;1;45;0;20/08/2010;17;4;5;2;2
BR102021014763;8;29;0;0;15;1;4;0;57;27/07/2021;1;7;0;0;0
WO2013162881;1;0;36;18;5;1;4;1;0;10/04/2013;60;3;12;2;6
BR0116036;4;0;34;95;3;1;4;0;0;06/12/2001;125;32;14;10;5
WO2014100526;4;0;6;3;11;0;4;4;0;20/12/2013;8;4;4;2;4
WO2010039831;2;0;4;6;5;0;5;0;0;30/09/2009;7;1;3;1;2
WO2013122051;7;10;8;8;7;1;6;2;6;12/02/2013;13;2;8;2;3
WO2011027389;3;3;7;13;2;1;4;1;7;02/09/2009;5;1;6;1;3
WO2013030415;1;0;7;2;3;1;2;0;0;02/09/2011;6;5;17;2;5
WO2010065643;5;0;32;91;4;0;3;1;0;02/12/2009;25;4;17;3;5
BR8206833;1;0;0;0;4;1;0;0;0;25/11/1982;1;1;1;1;1
BR0202103;1;0;0;0;4;1;2;0;0;05/06/2002;1;1;0;0;0
BR102014020132;6;0;0;0;7;1;8;0;10;14/08/2014;2;4;0;0;0
BR0214133;5;0;10;19;10;2;10;0;0;08/11/2002;49;8;3;2;1
BR8206832;1;0;0;0;5;1;0;0;0;25/11/1982;1;1;1;1;1
BR9807214;4;0;4;32;5;2;5;0;0;05/02/1998;17;4;2;2;1
BR0015519;1;0;16;32;11;1;8;0;0;19/10/2000;25;17;12;8;7
WO2021200451;5;1;9;2;6;0;6;0;7;24/03/2021;6;4;12;3;5
BR112017003943;6;0;12;11;3;1;0;0;0;04/09/2015;16;3;15;1;4
BR112022018538;1;0;6;0;2;2;3;0;0;16/03/2021;19;3;6;2;3
BR0209240;8;0;14;34;4;4;7;0;0;26/04/2002;27;4;4;1;1
WO2005021474;1;0;67;104;5;0;1;2;0;20/08/2004;38;16;49;5;8
BR0110410;0;0;11;252;11;1;11;0;0;27/04/2001;14;7;3;3;1
BR0116003;3;0;34;95;3;1;4;0;0;06/12/2001;125;32;14;10;5
WO2008047679;7;0;6;23;3;0;3;0;0;11/10/2007;5;2;4;2;3
