patent_id,ipc_class
BR0011522,A61
BR0011522,A61
BR0011522,A61
BR0011522,C07
BR0011522,C07
BR0011522,C07
BR0011522,C07
BR0011522,C07
BR0011522,C07
BR0011522,C07
BR0011522,C07
BR0011522,C07
BR0011522,C07
BR0011522,C07
BR0011522,C07
BR0011522,C07
BR0011522,C07
BR0011522,C07
BR0011522,C07
BR0011522,C07
BR0114322,A01
BR0114322,A01
BR0114322,A01
BR0114322,A01
BR0114322,C12
BR0114322,C12
BR0114322,C12
BR0114322,C12
BR0114322,C12
BR0114322,C12
BR0114322,C12
BR0114322,C12
BR0114322,C12
BR0114322,C12
BR102019002908,C10
BR102019002908,C10
BR102019002908,C08
BR102019002908,C07
BR102019002908,C07
BR102019002908,C07
BR102019002908,C07
BR102019002908,C07
BR102019002908,C10
BR9813266,A23
BR9813266,A23
BR9813266,A23
BR9813266,A23
BR9813266,A61
BR9813266,A61
BR9813266,A61
BR9813266,A61
BR9813266,A61
BR9813266,A61
BR9813266,A61
BR9813266,A61
BR9813266,A61
BR9813266,A61
BR9813266,A61
BR9813266,A61
BR9813266,A61
BR9813266,A61
BR9813266,A61
BR9813266,A61
BR9813266,A61
BR9813266,A61
BR9813266,A61
BR9813266,A61
BR9813266,A61
BR9813266,A61
BR9813266,A61
BR9813266,A61
BR9813266,A61
BR9813266,A61
BR9813266,C11
BR9813266,C11
BR9813266,C11
BR9813266,C11
BR9813266,C12
BR9813266,C12
BR9813266,C12
BR9813266,C12
BR9813266,C12
BR9813266,C12
BR9813266,C12
BR9813266,C12
BR9813266,C12
BR9813266,C12
BR9813266,C12
BR9813266,C12
BR9813266,C12
BR9813266,C12
BR9813266,C12
BR9813266,C12
BR112022004725,C07
BR112022004725,C07
BR112022004725,C08
BR112022004725,C11
BRPI0903452,B01
BRPI0903452,C07
BRPI0903452,C10
BRPI0504376,C12
BRPI0504376,C12
BRPI0504376,C12
BRPI0504376,C12
BR112019011523,C07
BR112019011523,C07
BR112019011523,C07
BR112019011523,C07
BR112019011523,C07
BR102021005566,B01
BR102021005566,B01
BR102021005566,C07
BR102021005566,C10
WO2015066778,C07
WO2015066778,C07
WO2015066778,C07
WO2015066778,C12
BRPI0610371,C13
BRPI0610371,C12
BRPI1002909,C10
BRPI1002909,C10
BRPI1002909,C10
BRPI1002909,C10
BRPI1002909,C10
BRPI1002909,C10
BRPI1002909,C10
BRPI1002909,C10
BRPI1002909,C10
BRPI1002909,C10
BRPI1002909,C10
BRPI1002909,C10
BRPI1002909,C10
WO2015164270,C12
WO2015164270,C12
WO2015164270,C12
WO2015164270,A23
WO2015164270,A23
WO2015164270,A23
BR8103530,C12
BR8103530,C12
BR8103530,C12
BR8103530,C12
BR7905440,C12
BR7905440,C12
BR7903175,C12
BR7903175,C12
BR7903175,C12
BR7903175,C12
BR7903175,C12
BR7903175,C12
BR7903175,C12
